"X"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"1"	"Myo1b"	35.9690354178387	-1.05952737908212	0.37327833457562	0.000208832885670885	0.0192276396107566
"2"	"Btg2"	18.2510211087724	-1.21835171961465	0.391780032022969	0.000100920570275399	0.0118472339455795
"3"	"1700025G04Rik"	23.7839715580447	-1.51426329692996	0.500808978060971	0.000141163498210352	0.0148424315935319
"4"	"Mgst3"	62.4237177912786	-1.4830936493116	0.474872763398832	0.000100586923609566	0.0118472339455795
"5"	"Pak6"	3.06454170357509	-2.27961928787757	0.770651223220382	0.000153921001020613	0.0156411493124136
"6"	"Mall"	14.0682983978689	-1.76576776891208	0.419040287560848	1.47239252207408e-06	0.000592616955955932
"7"	"Jade3"	20.9337150657508	-1.54280639198844	0.517270636789803	0.000146484096357545	0.0152853441880647
"8"	"06-Sep"	19.5903658229921	-1.47541394255985	0.587935641283905	0.000508724815300277	0.0375440662091552
"9"	"Cul4b"	37.3801218285533	-1.41374946423827	0.49026734765615	0.000198943057965891	0.0185596745534139
"10"	"Gm24598"	2.74627872517039	-3.91654941834103	1.26800855140086	5.2936799943909e-05	0.00760939490622291
"11"	"Gpr50"	5.18131768879015	-2.83868207978553	0.949288306578428	0.000154335185236423	0.0156411493124136
"12"	"Zmat1"	10.1572452865869	-1.6730285852116	0.633284578063603	0.000312910370572097	0.0250452749445973
"13"	"Car5b"	6.07977070232441	-1.88113901711925	0.686198071422951	0.000258710946746766	0.0220311171657364
"14"	"Fabp5"	318.424550184631	-1.55394581927577	0.463261648770737	4.93195146638216e-05	0.00739110641563037
"15"	"Epb41"	19.8301247651925	-1.03417368826379	0.348093186781521	0.000132047034618207	0.0143417430010421
"16"	"Pla2g2f"	2.59594182724723	-3.28838487927288	1.29135376303159	0.000259612795450575	0.0220311171657364
"17"	"Tnfrsf9"	330.832135539093	-1.62887385293317	0.532455548809233	0.000139868461527449	0.0148424315935319
"18"	"Tec"	9.13625142148314	-1.10867595608208	0.457372270769638	0.000585627123296498	0.0412486464293889
"19"	"Tmem119"	38.8459881556788	-3.05043520154348	0.423978998864929	5.8343285817549e-14	2.73960622437271e-10
"20"	"Fscn1"	79.4642027317508	-1.01973137988454	0.424848498568313	0.000736473119214184	0.0471577128653192
"21"	"Rarres2"	302.694411816736	-2.19779729844737	0.657580374187013	6.28963706756869e-05	0.0086864820951804
"22"	"Gkn1"	4.74471518575787	-3.58021581120983	0.739762978398324	1.16740991621925e-07	8.65542288935823e-05
"23"	"Krt8-ps"	6.81130593013299	-2.80355595756776	0.799644463821001	2.71725714871552e-05	0.00503657913867835
"24"	"Rinl"	17.5102456165754	-1.41511196287235	0.579979299531062	0.000645468793814526	0.0439261782534552
"25"	"Slco3a1"	10.2021503043631	-1.26360143974867	0.562500484161171	0.000777881367689065	0.0493604271470083
"26"	"Scnn1b"	32.5828881141342	-1.78652150292121	0.565003775093206	8.33211548302811e-05	0.0107496310519062
"27"	"Lsp1"	161.830231287587	-1.83311599162284	0.510234582294752	2.19267756033967e-05	0.00435045757640914
"28"	"Chst11"	20.057851046878	-1.58584191771093	0.41853970485013	8.04001999259905e-06	0.00202876329076986
"29"	"Ndufa4l2"	25.3844451031259	-1.79183769013467	0.462169591344012	6.52521646734025e-06	0.00176770623798889
"30"	"Lpl"	5.47408933458735	-3.0965008459028	0.756347991657815	3.17724666266962e-06	0.0010656636604054
"31"	"Adgrg1"	15.3660638938978	-1.74827671963554	0.457650025354568	5.39805180096969e-06	0.00158421574417208
"32"	"Cdh1"	10.0798567648927	-1.56278051774452	0.564038061854625	0.000288308539518252	0.0236209528362109
"33"	"Tubb3"	17.4844742890214	-2.5445823455399	0.799728783238732	8.39397611776588e-05	0.0107496310519062
"34"	"Sema3g"	19.3122613153038	-1.10895739621175	0.464278817133115	0.000710744513349032	0.0461394376016029
"35"	"Ear1"	39.5453069277921	-2.25634898808743	0.658284846772038	3.79828763170089e-05	0.0063698187937822
"36"	"Ero1l"	79.3297321445212	-1.08416502417576	0.365047865134587	0.000168484196208008	0.0164822004998765
"37"	"Pstpip1"	18.7231651560503	-1.52846829718342	0.608823419994738	0.000570615484266355	0.0403932679741716
"38"	"Gm6166"	10.7387858201903	-2.08305553508707	0.547427835316415	5.86040339100361e-06	0.00164597966400422
"39"	"Col12a1"	14.9522584540433	-1.20653819160423	0.378141208198712	7.31901459330854e-05	0.00974525857764915
"40"	"Prss35"	24.5961090550068	-1.54121982284333	0.609751432386353	0.000628058049212842	0.0429488045595209
"41"	"Hba-a1"	1856.71110596621	-1.47509487636383	0.423911851766376	3.23587573468907e-05	0.00569797268432062
"42"	"Hba-a2"	389.741304835094	-1.21917478991217	0.407927381299279	0.000158389630421644	0.0157129205897866
"43"	"Traf4"	6.98866873968872	-2.0645411222185	0.707624427344474	0.000129382584310119	0.0142391598841926
"44"	"Unc119"	16.8373459178334	-1.27024009150607	0.532930400471683	0.000690645203740574	0.045251716209737
"45"	"B4galnt2"	2.17096026275524	-4.20105072310612	1.21245867427637	8.2089520532322e-06	0.00202876329076986
"46"	"2410003L11Rik"	6.67733659729309	-3.08096337152789	0.905690901830141	4.5074836470566e-05	0.00710198737942056
"47"	"Prl2b1"	175.452849913397	-8.98159924155606	1.01781842802514	7.96625877396896e-20	5.61103436744503e-16
"48"	"Fgd3"	6.84370146006564	-1.39039454191955	0.568634235105561	0.000503997803843733	0.0375440662091552
"49"	"4930486L24Rik"	17.027477961696	-2.1459176173125	0.507408328360252	1.36784795788136e-06	0.000582841266006037
"50"	"Fam49a"	13.1950141266476	-1.36833522744063	0.518715135026988	0.000272071226196794	0.0226785051090783
"51"	"Flvcr2"	5.38681462923639	-5.00507691013679	1.18801401666085	2.02455648961894e-07	0.000122511402678402
"52"	"Tgfb3"	10.3115947147122	-1.25279641696825	0.528522812654432	0.000651012105774339	0.0440904208367458
"53"	"Rian"	23.2715461741219	-2.24392652075563	0.644967941566663	3.2227195109662e-05	0.00569797268432062
"54"	"Tdrd9"	7.45589407755333	-2.58284721662309	0.762393178031	4.80835026188384e-05	0.00728335807947932
"55"	"Kif26a"	12.3410640761831	-1.47707927694543	0.548037249607886	0.000305227467129106	0.0245699390254155
"56"	"Gm6768"	4.81572140370297	-1.93932210533367	0.577291841506879	3.97300031028797e-05	0.00652905232924126
"57"	"Ptp4a3"	32.5146226240865	-2.10984847252718	0.524329790491253	4.06401219467563e-06	0.00128464415617013
"58"	"Eppk1"	6.3737327100226	-2.32302886366707	0.800880925583422	0.000136806932102251	0.0147114446757588
"59"	"Endou"	12.0790161443843	-2.59626491697067	0.514709304631945	3.33486860388211e-08	3.13188626819249e-05
"60"	"Ccdc184"	3.80912657562115	-4.26972720257392	1.13967372739315	1.84448952298443e-06	0.000701460129080748
"61"	"Galnt6"	3.54399361718306	-3.02536960626187	0.810555345689646	1.58174703940322e-05	0.00348157352251143
"62"	"Cyp2ab1"	14.4624995218922	-1.93169598788925	0.476809116214316	2.92726317549058e-06	0.00100576478910087
"63"	"St6gal1"	5.81879070369103	-1.93060361607112	0.573110689683996	4.71070955450748e-05	0.00721301798851597
"64"	"Pla1a"	19.2868570726944	-1.899956960006	0.631014326805704	0.000154246560032064	0.0156411493124136
"65"	"Thbs2"	24.5374957440183	-4.60204504541313	0.756739894564589	1.14147256369036e-10	2.00999050058826e-07
"66"	"Tff1"	9.29702233978728	-3.50615154227284	0.663591402508188	1.54539822753509e-08	1.67461729471437e-05
"67"	"H2-K1"	363.297455251221	-1.15123539176587	0.189608158700231	8.18851206471119e-11	1.64787956365124e-07
"68"	"H2-D1"	563.783290702793	-1.01819536992681	0.218653753671766	2.08722486283924e-07	0.000122511402678402
"69"	"H2-Q6"	23.3754038661412	-1.94216660856566	0.463206501120601	1.40672982495956e-06	0.000582841266006037
"70"	"Qpct"	70.5210129769622	-1.64373937165205	0.481266289192218	3.98593384194469e-05	0.00652905232924126
"71"	"Myo5b"	2.97369837052735	-5.14059035228219	1.47194512782019	9.12377892278476e-07	0.000428422245617563
"72"	"Scgb1a1"	215.38114937254	-1.82894687900904	0.421513009861161	1.01167748419162e-06	0.000459725829671204
"73"	"Tcf7l2"	8.45638297214195	-1.54078698022817	0.556725529153996	0.000224504287289234	0.0201438974206589
